fo_id;fo_code;fo_code_ext;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_type;fo_etat;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
18003003001;FO180030003001;;CB000180030003;1;1;1;G652;OK;1;1;CST;;2015-06-03 00:00:00;;;;
180030001001;FO180030001001;;CB000180030001;1;1;1;G652;OK;1;1;CST;;2015-06-02 00:00:00;;;;
180030001002;FO180030001002;;CB000180030001;2;1;2;G652;OK;2;1;CST;;2015-06-02 00:00:00;;;;
180030001003;FO180030001003;;CB000180030001;3;1;3;G652;OK;3;1;CST;;2015-06-02 00:00:00;;;;
180030001004;FO180030001004;;CB000180030001;4;1;4;G652;OK;4;1;CST;;2015-06-02 00:00:00;;;;
180030001005;FO180030001005;;CB000180030001;5;1;5;G652;OK;5;1;CST;;2015-06-02 00:00:00;;;;
180030001006;FO180030001006;;CB000180030001;6;1;6;G652;OK;6;1;CST;;2015-06-02 00:00:00;;;;
180030001007;FO180030001007;;CB000180030001;7;2;1;G652;OK;1;1;CST;;2015-06-02 00:00:00;;;;
180030001008;FO180030001008;;CB000180030001;8;2;2;G652;OK;2;1;CST;;2015-06-02 00:00:00;;;;
180030001009;FO180030001009;;CB000180030001;9;2;3;G652;OK;3;1;CST;;2015-06-02 00:00:00;;;;
180030001010;FO180030001010;;CB000180030001;10;2;4;G652;OK;4;1;CST;;2015-06-02 00:00:00;;;;
180030001011;FO180030001011;;CB000180030001;11;2;5;G652;OK;5;1;CST;;2015-06-02 00:00:00;;;;
180030001012;FO180030001012;;CB000180030001;12;2;6;G652;OK;6;1;CST;;2015-06-02 00:00:00;;;;
180030001013;FO180030001013;;CB000180030001;13;3;1;G652;OK;1;1;CST;;2015-06-02 00:00:00;;;;
180030001014;FO180030001014;;CB000180030001;14;3;2;G652;OK;2;1;CST;;2015-06-02 00:00:00;;;;
180030001015;FO180030001015;;CB000180030001;15;3;3;G652;OK;3;1;CST;;2015-06-02 00:00:00;;;;
180030001016;FO180030001016;;CB000180030001;16;3;4;G652;OK;4;1;CST;;2015-06-02 00:00:00;;;;
